rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_range,train/n_updates,train/loss,train/explained_variance,train/std,train/policy_gradient_loss,train/clip_fraction,train/value_loss,eval/mean_reward,eval/mean_ep_length
,,200000,,,,0.012780965,-14.015578812360763,0.0003,0.2,970,642.4456176757812,0.7414702475070953,0.9849279522895813,-0.022300468120374718,0.101025390625,1630.1203016281129,1699.3065477857367,307.95
877.6499639699999,812,200704,159.88,246,98,,,,,,,,,,,,,
868.7117896999999,817,202752,158.08,247,99,0.013785295,-14.016580355167388,0.0003,0.2,980,546.995361328125,0.783158615231514,0.9848805665969849,-0.025056006366503424,0.104638671875,1567.711506462097,,
869.8666254499999,822,204800,158.42,248,100,0.012917178,-14.013061630725861,0.0003,0.2,990,438.4175109863281,0.7106654644012451,0.9842228889465332,-0.024330143787665293,0.11025390625,1774.0022172927856,,
,,205000,,,,0.013301149,-14.006689900159836,0.0003,0.2,1000,772.1295166015625,0.7062771022319794,0.9833680987358093,-0.024703307438176125,0.0990234375,1986.4939529418946,1579.1452159095556,286.85
898.38085626,835,206848,163.59,247,101,,,,,,,,,,,,,
922.7479346700001,841,208896,167.8,248,102,0.015546329,-13.997996833920478,0.0003,0.2,1010,726.8214111328125,0.7384759485721588,0.9823799133300781,-0.02566445030097384,0.12109375,1751.7996347427368,,
,,210000,,,,0.009540552,-13.994075521826744,0.0003,0.2,1020,686.5222778320312,0.6123159229755402,0.982764720916748,-0.02121621948972461,0.07861328125,2247.1082319259644,1380.9464066720568,255.9
945.27708105,854,210944,171.26,246,103,,,,,,,,,,,,,
959.9862768400001,860,212992,173.65,247,104,0.01584891,-13.992365032434464,0.0003,0.2,1030,571.98681640625,0.6905362904071808,0.9819513559341431,-0.028406844247365372,0.1158203125,2117.6503997802733,,
,,215000,,,,0.013019407,-13.986764603853226,0.0003,0.2,1040,616.2609252929688,0.7383066117763519,0.9817313551902771,-0.024556897330330684,0.098974609375,1936.442283630371,1352.1903340665624,247.3
972.1071842399999,872,215040,175.75,246,105,,,,,,,,,,,,,
962.3032028700003,878,217088,174.17,247,106,0.012651987,-13.984816646575927,0.0003,0.2,1050,400.7010803222656,0.745094895362854,0.9816350936889648,-0.021614937746198847,0.097021484375,1734.6992639541627,,
920.8408408000001,884,219136,167.08,247,107,0.010806348,-13.982935166358947,0.0003,0.2,1060,847.7056884765625,0.64999920129776,0.9815093874931335,-0.022424394910922275,0.0837890625,2591.5634603500366,,
