time/iterations,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/entropy_loss,train/clip_fraction,train/explained_variance,train/clip_range,train/approx_kl,train/loss,train/n_updates,train/policy_gradient_loss,train/value_loss,train/std,train/learning_rate,eval/mean_ep_length,eval/mean_reward
,,,230000,,,-22.228515553474427,0.20498046875,0.8838650435209274,0.2,0.023003748,128.07643127441406,1120,-0.057170815134304574,378.47417397499083,0.8962934613227844,0.0003,91.7,479.4276401519775
113,435,531,231424,74.68,377.00018296999997,,,,,,,,,,,,,
114,435,536,233472,73.49,373.4808035599999,-22.211041939258575,0.21787109375,0.8473434597253799,0.2,0.029881764,243.21864318847656,1130,-0.054186826822115106,433.05770511627196,0.8956197500228882,0.0003,,
,,,235000,,,-22.18816659450531,0.276806640625,0.9040768817067146,0.2,0.03740033,82.02567291259766,1140,-0.0648536903609056,311.8820373296738,0.8942524790763855,0.0003,91.1,470.35592205524443
115,434,542,235520,74.25,375.3774465,,,,,,,,,,,,,
116,434,546,237568,74.99,381.69648803999996,-22.17264881134033,0.23525390625,0.8878777846693993,0.2,0.030956158,108.6602783203125,1150,-0.05625058901496231,335.8626247882843,0.8934455513954163,0.0003,,
117,434,550,239616,74.79,381.8621321300001,-22.1609865963459,0.209765625,0.8920936584472656,0.2,0.025336122,137.93312072753906,1160,-0.05458998852991499,371.71327433586123,0.8932395577430725,0.0003,,
,,,240000,,,-22.156064063310623,0.235693359375,0.9025565981864929,0.2,0.032124612,112.40377044677734,1170,-0.05572345503314864,356.02124109268186,0.8930375576019287,0.0003,71.5,361.1058636903763
118,434,556,241664,73.41,374.01583273999995,,,,,,,,,,,,,
119,434,560,243712,73.34,372.45912014000004,-22.155019682645797,0.231298828125,0.8893714472651482,0.2,0.029534675,95.4275894165039,1180,-0.054512507168692534,338.9072919368744,0.8929986357688904,0.0003,,
,,,245000,,,-22.155637633800506,0.23486328125,0.8894954770803452,0.2,0.034925524,125.9139633178711,1190,-0.05682760349591263,343.8308003425598,0.8931326270103455,0.0003,82.35,448.0499937534332
120,433,567,245760,73.68,369.83643450999995,,,,,,,,,,,,,
