time/fps,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/n_updates,train/actor_loss,train/ent_coef,eval/mean_reward,eval/mean_ep_length
66,548,51,-3.6450859299999996,3408,6.3,2.166586399078369,-17.3563232421875,0.0003,3307,-7.34925651550293,0.3780432939529419,,
66,552,51,-3.5728324500000004,3430,6.28,1.5129297971725464,-18.205495834350586,0.0003,3329,-7.546563148498535,0.3755970597267151,,
66,556,51,-3.5750365700000004,3457,6.33,1.8747997283935547,-17.95094871520996,0.0003,3356,-7.276421546936035,0.37258583307266235,,
66,560,52,-3.46597732,3477,6.25,1.6844749450683594,-18.317508697509766,0.0003,3376,-7.111746788024902,0.3703748285770416,,
66,564,52,-3.4234711499999997,3503,6.25,1.5580435991287231,-18.612411499023438,0.0003,3402,-6.903563499450684,0.3674980700016022,,
66,568,52,-3.40204257,3528,6.21,1.2484930753707886,-18.64659881591797,0.0003,3427,-7.185608863830566,0.3647400438785553,,
66,572,53,-3.3808909199999992,3551,6.09,1.5613811016082764,-18.941020965576172,0.0003,3450,-6.7908735275268555,0.36221763491630554,,
66,576,53,-3.3753758700000005,3573,5.99,1.5927523374557495,-19.184223175048828,0.0003,3472,-7.272417068481445,0.3598148226737976,,
66,580,53,-3.3498200000000002,3595,5.98,1.3544747829437256,-19.576404571533203,0.0003,3494,-6.7140374183654785,0.35741347074508667,,
66,584,54,-3.399527959999999,3622,6.02,1.4646673202514648,-19.482830047607422,0.0003,3521,-6.885127067565918,0.35448500514030457,,
66,588,54,-3.4543858200000006,3644,5.95,1.3744418621063232,-19.627605438232422,0.0003,3543,-6.295802116394043,0.3521278500556946,,
66,592,55,-3.558636720000001,3665,5.97,1.2265710830688477,-19.445018768310547,0.0003,3564,-6.366673469543457,0.3498969078063965,,
66,596,55,-3.5021177500000005,3687,5.95,1.4094289541244507,-19.73835563659668,0.0003,3586,-6.434069633483887,0.34759005904197693,,
66,600,55,-3.44189056,3706,5.92,1.3358170986175537,-19.59449005126953,0.0003,3605,-6.473830699920654,0.3456120193004608,,
66,604,56,-3.523556319999999,3735,6.02,1.243850588798523,-19.74675941467285,0.0003,3634,-6.044554710388184,0.34262269735336304,,
66,608,56,-3.5362065,3755,5.97,1.2985155582427979,-19.68561553955078,0.0003,3654,-6.449151039123535,0.3405791223049164,,
