rollout/ep_len_mean,train/n_updates,time/time_elapsed,time/fps,time/episodes,train/ent_coef,train/learning_rate,rollout/ep_rew_mean,train/critic_loss,time/total_timesteps,train/ent_coef_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length
,279899,,,,0.016066689044237137,0.0003,,0.166092187166214,280000,-0.753002405166626,-74.03730010986328,957.8664149429417,1000.0
984.97,282211,4741,59,308,0.01596386916935444,0.0003,878.00058221,0.1587958037853241,282312,0.8064429759979248,-74.42195129394531,,
,284899,,,,0.015795385465025902,0.0003,,0.25805407762527466,285000,0.16355463862419128,-73.88702392578125,885.9251087785233,1000.0
984.97,286211,4807,59,312,0.015613225288689137,0.0003,885.35758123,0.1410408616065979,286312,0.49445033073425293,-73.88117980957031,,
,289899,,,,0.01599469780921936,0.0003,,0.41594749689102173,290000,-0.04820603132247925,-74.72634887695312,962.6936372570693,1000.0
984.97,290211,4875,59,316,0.0157502219080925,0.0003,886.61070929,0.136003315448761,290312,-0.31915777921676636,-75.32492065429688,,
984.97,294211,4925,59,320,0.01569327712059021,0.0003,888.16119266,0.11660546064376831,294312,1.1477463245391846,-75.00847625732422,,
,294899,,,,0.0156819149851799,0.0003,,0.05035274475812912,295000,-0.11521285772323608,-75.01477813720703,965.9387407533825,1000.0
984.97,298211,4992,59,324,0.015774160623550415,0.0003,889.4471793199998,0.12899664044380188,298312,0.2811577022075653,-74.55404663085938,,
,299899,,,,0.015570400282740593,0.0003,,0.08487695455551147,300000,-0.0707089900970459,-74.87469482421875,938.4381877459585,1000.0
984.97,302211,5059,59,328,0.015309661626815796,0.0003,890.8988787599999,0.17937138676643372,302312,-0.48843371868133545,-74.73580169677734,,
,304899,,,,0.014918070286512375,0.0003,,0.18217094242572784,305000,-0.1805374026298523,-74.54390716552734,927.2022578861564,1000.0
984.97,306211,7926,38,332,0.015398659743368626,0.0003,889.5121161699999,0.19146192073822021,306312,0.7116533517837524,-75.43940734863281,,
