time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
188,1221623,6475,60.42078453999999,12.78,95968,0.6400071061574496,1221512,-30.492821284702845,0.001,,
188,1221672,6475,60.28560941,12.75,95972,0.6353324304024378,1221562,-30.70697593688965,0.001,,
188,1221723,6475,60.240387760000004,12.74,95976,0.6360986060821093,1221613,-31.75383122762044,0.001,,
188,1221774,6476,60.24353406,12.74,95980,0.6860819508632024,1221663,-31.336956024169922,0.001,,
188,1221825,6476,60.19446163000001,12.73,95984,0.655482719723995,1221714,-31.061218534197128,0.001,,
188,1221875,6476,60.10225139999999,12.71,95988,0.5074135487278303,1221764,-31.662288983662922,0.001,,
188,1221926,6476,60.05659423,12.7,95992,0.7041516825556755,1221815,-30.69395351409912,0.001,,
188,1221977,6477,60.01224582,12.69,95996,0.5496438265993044,1221866,-31.53291811261858,0.001,,
188,1222029,6477,60.061298060000006,12.7,96000,0.6627603024244308,1221918,-30.70680672781808,0.001,,
188,1222081,6477,60.06155578,12.7,96004,0.6904055384489206,1221970,-31.308441162109375,0.001,,
188,1222132,6477,60.06261887000001,12.7,96008,0.8275133921549871,1222022,-30.319616045270646,0.001,,
188,1222184,6478,60.108416940000005,12.71,96012,0.8261989068526489,1222073,-29.99795373280843,0.001,,
188,1222236,6478,60.10561846999999,12.71,96016,0.7874851226806641,1222125,-31.08823585510254,0.001,,
188,1222288,6478,60.148841049999994,12.72,96020,0.6549099958859957,1222177,-30.802316347757976,0.001,,
188,1222339,6478,60.14477530000001,12.72,96024,0.5196826572601612,1222229,-31.62499173482259,0.001,,
188,1222391,6479,60.23774702000001,12.74,96028,0.5850096092774317,1222280,-31.16773087637765,0.001,,
188,1222443,6479,60.28023237,12.75,96032,0.6865794566961435,1222332,-30.295780181884766,0.001,,
188,1222493,6479,60.32538267999999,12.76,96036,0.48507373951948607,1222383,-31.80433718363444,0.001,,
188,1222543,6479,60.27899506,12.75,96040,0.6273262752936437,1222433,-31.65705680847168,0.001,,
188,1222594,6479,60.27935389000001,12.75,96044,0.8441775532869192,1222483,-30.04410966237386,0.001,,
188,1222645,6480,60.32978411,12.76,96048,0.7253079861402512,1222534,-30.94356427873884,0.001,,
188,1222697,6480,60.42277114,12.78,96052,0.702835482186996,1222586,-31.01093237740653,0.001,,
188,1222748,6480,60.374303739999995,12.77,96056,0.5453919722483709,1222637,-30.346097628275555,0.001,,
