time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,time/episodes,train/n_updates,train/learning_rate,train/actor_loss,train/critic_loss,eval/mean_reward,eval/mean_ep_length
472,170.02,68034,143,-196.25889229,384,67895,0.001,-31.00523405456543,3.6798635207414625,,
478,170.74,69213,144,-196.37839325000002,388,69094,0.001,-30.864471571786062,3.598508070750409,,
,,70000,,,,69341,0.001,-29.920328974723816,3.1492729620500044,285.5983041748344,1000.0
490,180.06,70435,143,-206.91937604999995,392,,,,,,
495,180.6,70747,142,-207.37528193000003,396,70574,0.001,-30.53674954953401,3.9549688204475073,,
501,169.08,71854,143,-193.80865729999996,400,71706,0.001,-29.750162805829728,3.0935797691345215,,
503,171.47,72228,143,-196.71365163,404,72103,0.001,-30.24420267221879,3.2885665540792504,,
504,162.15,72398,143,-186.19481535,408,72274,0.001,-30.32229715235093,4.330251469756618,,
505,162.56,72584,143,-186.72139082,412,72427,0.001,-30.563283920288086,4.219046002342587,,
506,162.08,72810,143,-186.21186648000003,416,72659,0.001,-30.75536030736463,3.4885183593322493,,
512,163.56,74044,144,-187.75431200000003,420,73891,0.001,-30.306085968017577,3.148961237668991,,
514,164.9,74377,144,-189.39535071000003,424,74272,0.001,-30.434455120202266,3.107320992763226,,
515,153.48,74510,144,-176.61924615,428,74384,0.001,-30.554338455200195,3.063188672065735,,
516,153.52,74710,144,-176.78641862,432,74586,0.001,-30.221228966346153,3.1938053907132615,,
,,75000,,,,74633,0.001,-30.249024152755737,5.288090130862067,259.2647703643124,1000.0
536,161.2,76787,143,-184.22834665,436,76633,0.001,-30.35584439468384,3.1123509273529053,,
538,171.01,77959,144,-195.14949205999997,440,76865,0.001,-30.32453316450119,3.8408892080187798,,
544,172.58,78253,143,-197.12963951999998,444,78089,0.001,-30.34509949351466,2.9516156121741894,,
545,161.37,78526,143,-184.68744124999998,448,78347,0.001,-30.423805356025696,3.0481994582205703,,
,,80000,,,,79432,0.001,-30.404847831726073,3.0807980378866198,335.59652731472744,1000.0
566,181.66,80748,142,-207.06445478,452,80619,0.001,-30.588333088864562,2.676586528512883,,
573,198.85,82847,144,-225.76178955000003,456,81753,0.001,-30.475729942321777,2.922012201944987,,
578,188.68,83032,143,-214.30050805,460,82884,0.001,-30.667190383462344,2.758248534272699,,
585,202.69,84584,144,-229.70855978,464,84178,0.001,-30.77392008112765,2.549750614440304,,
,,85000,,,,84603,0.001,-30.94194429261344,2.8228486069535785,329.0821959837893,1000.0
602,212.24,85865,142,-240.14888266999998,468,85694,0.001,-31.271952504697055,2.2882722327997396,,
609,220.99,87121,143,-249.6772421,472,86992,0.001,-31.36659937638503,2.118285877473893,,
610,220.27,87388,143,-248.95544162000002,476,87273,0.001,-31.235504831586564,2.533062066350664,,
612,208.95,87693,143,-236.49200736999998,480,87534,0.001,-31.450494436117317,2.313503915300736,,
613,200.69,88103,143,-227.37020991000006,484,87711,0.001,-31.38664294827369,2.5591157213334115,,
615,192.03,88416,143,-218.10892254,488,88211,0.001,-31.59040431653039,2.4496720127698755,,
621,191.96,89631,144,-217.8406801,492,89404,0.001,-31.84936659676688,2.192208673272814,,
,,90000,,,,89537,0.001,-31.73622498367772,2.6740156716870187,353.73451033067613,1000.0
637,199.89,90736,142,-226.67082212999998,496,90612,0.001,-32.169714560875526,2.1884957139308634,,
638,190.74,90928,142,-216.85991904,500,90801,0.001,-32.14604123433431,2.366250071260664,,
640,190.78,91306,142,-216.81064158,504,91194,0.001,-32.39780235290527,2.55807406613321,,
643,203.02,92700,144,-230.3729353,508,91606,0.001,-32.37335306803386,2.1884568806352287,,
653,212.96,93880,143,-241.0756724,512,93767,0.001,-32.90832290649414,2.1929612542376105,,
654,212.84,94094,143,-240.85862018999995,516,93930,0.001,-32.98487578905546,2.467748220150287,,
655,203.03,94347,143,-229.7071074,520,94195,0.001,-33.09212799072266,2.57420935169343,,
,,95000,,,,94382,0.001,-33.090697818332245,2.355560733212365,399.54662525616294,1000.0
666,210.99,95476,143,-237.84491677999998,524,,,,,,
682,240.3,98540,144,-269.50494927999995,528,97446,0.001,-33.8489674911499,2.0756638073921203,,
