time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/learning_rate,eval/mean_reward,eval/mean_ep_length,train/actor_loss,train/n_updates,train/critic_loss
444,956.24,3603,427517,625.45280445,118,0.001,,,-72.22661506652832,426469,0.4457273180410266
,,,430000,,,0.001,893.1529569804668,1000.0,-72.08584909057618,429469,0.5232430588304996
448,965.72,3640,431517,631.27318562,118,0.001,,,-71.97839045715332,430469,0.5556945258378982
,,,435000,,,0.001,854.7464276492595,1000.0,-71.9229493713379,434469,0.5106470813974738
452,965.72,3676,435517,630.03602347,118,,,,,,
456,965.72,3700,439517,628.9698282100001,118,0.001,,,-71.91537205505371,438469,0.49270107404887675
,,,440000,,,0.001,878.3949819862843,1000.0,-71.89031942749024,439469,0.5965153101459145
460,965.72,3737,443517,627.9247674999999,118,0.001,,,-71.90486264038086,442469,0.4846439927667379
,,,445000,,,0.001,920.116560691595,1000.0,-71.8363203125,444469,0.7017325701713562
464,962.77,3774,447222,620.41689065,118,0.001,,,-71.78299377441407,446469,0.48076207949221134
,,,450000,,,0.001,921.6576543688774,1000.0,-71.73325384521485,449174,0.48745429607480767
468,966.28,3809,451222,621.9441397100001,118,0.001,,,-71.748290725708,450174,0.4541237050071359
,,,455000,,,0.001,926.5987961292267,1000.0,-71.77206079101562,454174,0.5214979009851813
472,973.33,3845,455222,625.76014497,118,,,,,,
476,973.33,3870,459222,625.27352536,118,0.001,,,-71.65824388122559,458174,0.4273779665082693
,,,460000,,,0.001,933.1307887971401,1000.0,-71.71276824951173,459174,0.7627534440904856
480,973.33,3905,463222,625.6699687900001,118,0.001,,,-71.7368952331543,462174,0.4700960716158152
,,,465000,,,0.001,925.9628226220608,1000.0,-71.74618171691894,464448,0.606188673645258
484,970.29,3938,466496,606.18513632,118,0.001,,,-71.77130432128907,465448,0.5562071511521935
,,,470000,,,0.001,933.2518511891365,1000.0,-71.65871392822265,469448,0.48519670021533967
488,970.29,3974,470496,606.54321804,118,,,,,,
492,970.29,3999,474496,615.9653139400001,118,0.001,,,-71.72355992126465,473448,0.47109565167874096
,,,475000,,,0.001,884.9207437574863,1000.0,-71.73052282714843,474448,0.5277347181588411
496,978.61,4036,478496,614.4603646200001,118,0.001,,,-71.62053729248046,477448,0.5610457453131675
,,,480000,,,0.001,857.8341130197048,1000.0,-71.49354209899903,479448,0.6771933027803898
500,978.61,4070,482496,612.91782338,118,0.001,,,-71.45587524414063,481448,0.48222998624294994
,,,485000,,,0.001,934.9415210366249,1000.0,-71.40512141418456,484448,0.6100759426876903
504,978.61,4106,486496,609.2758324700001,118,0.001,,,-71.37793246459961,485448,0.5506619842872024
,,,490000,,,0.001,880.3746275365353,1000.0,-71.2516237335205,489448,0.8376390902101993
508,978.61,4143,490496,605.9216571000001,118,,,,,,
512,978.61,4168,494496,605.3227989400001,118,0.001,,,-71.11167597961426,493448,0.643870334520936
,,,495000,,,0.001,879.0089095473289,1000.0,-71.0324129333496,494448,0.5974823969826102
516,978.61,4204,498496,604.7528548,118,0.001,,,-70.95976205444336,497448,0.6188183884471655
,,,500000,,,0.001,894.4856036007404,1000.0,-70.8950772857666,499448,0.6458070320785045
520,978.61,4239,502496,603.3380562300001,118,0.001,,,-70.81357919311523,501448,0.6504597555100918
,,,505000,,,0.001,918.5098184347153,1000.0,-70.78064315795899,504448,0.49204497853666546
