train/learning_rate,rollout/ep_rew_mean,time/total_timesteps,train/actor_loss,time/episodes,time/time_elapsed,train/critic_loss,train/n_updates,rollout/ep_len_mean,time/fps,eval/mean_ep_length,eval/mean_reward
0.001,,150000,-131.91711551195954,,,20.366787586082406,149929,,,127.8,306.0377243757248
0.001,608.97535165,150216,-131.53222334384918,680,2112,18.774994390217337,150056,500.7,71,,
0.001,603.6860973700001,150766,-131.19561397007533,684,2116,18.4279552436044,150597,492.67,71,,
0.001,604.2285720799999,151347,-132.35220275878908,688,2121,18.709697477075437,151175,492.3,71,,
0.001,590.1973376899999,151921,-132.69067533251265,692,2125,13.582305058627062,151757,474.95,71,,
0.001,581.1898514100001,152452,-131.91871349628155,696,2129,17.84889731682264,152281,463.12,71,,
0.001,,152500,-132.17034520043268,,,14.564154469304615,152425,,,133.5,312.5058952093124
0.001,553.5066416999999,153003,-132.25530535554233,700,2136,16.606689023644957,152835,428.63,71,,
0.001,525.9010245900001,153571,-133.1904338200887,704,2141,16.508046504524017,153405,394.31,71,,
0.001,507.4552326200001,154077,-133.64466190338135,708,2145,21.447169985622168,153919,369.12,71,,
0.001,479.9243968999999,154589,-134.61651488273375,712,2149,21.59384079170227,154423,334.24,71,,
0.001,,155000,-134.55249321460724,,,19.64276054315269,154831,,,143.7,390.4591718673706
0.001,462.75423323999996,155129,-134.8327119615343,716,2157,16.916823474897278,154975,308.57,71,,
0.001,433.75558414,155658,-136.4279697302616,720,2161,12.441324088409656,155498,273.86,72,,
0.001,434.79549768000004,156175,-137.2175521850586,724,2164,7.918886037543416,156018,267.7,72,,
0.001,423.8691977099999,156761,-137.3399463452791,728,2169,21.024597542850596,156586,248.79,72,,
0.001,396.25722719999993,157328,-138.78528285670924,732,2174,24.728483225848223,157160,214.46,72,,
0.001,,157500,-140.08845854458744,,,19.28423753666551,157447,,,144.8,365.74686337709426
0.001,370.36112936999996,157880,-140.83908574030949,736,2182,12.333993416706114,157723,184.22,72,,
0.001,341.71062061,158421,-141.4395987374442,740,2186,38.83580476556506,158256,151.68,72,,
0.001,335.05366021000003,158966,-143.03412859367603,744,2190,11.47858614411973,158812,141.41,72,,
0.001,336.78448990000004,159512,-142.54874619704026,748,2194,19.937641264842107,159350,141.45,72,,
0.001,,160000,-143.26951731806216,,,12.188832911261677,159898,,,134.3,320.5368420600891
,333.92258205999997,160060,,752,2202,,,138.78,72,,
0.001,332.10233676,160625,-143.79815172467912,756,2206,24.538221526145936,160451,136.21,72,,
0.001,334.52715155000004,161219,-143.4102868903173,760,2210,21.54463946166104,161038,136.76,72,,
0.001,334.63369677000003,161771,-144.21463056291853,764,2215,17.04254153626306,161612,136.82,73,,
0.001,338.28728835000004,162379,-143.5815576171875,768,2219,17.556459381090885,162211,137.75,73,,
0.001,,162500,-144.269433679715,,,19.759861164904656,162352,,,134.8,334.8339444339275
0.001,338.71227747000006,162910,-144.91175091083232,772,2226,14.439440898312867,162741,137.77,73,,
0.001,338.08448380999994,163432,-144.89180980009192,776,2230,15.980179457103505,163279,137.57,73,,
0.001,338.69323732000004,163972,-144.03662204742432,780,2235,28.36550354218298,163797,137.56,73,,
0.001,338.0850736,164476,-144.98401968819755,784,2239,21.64475386861771,164321,137.1,73,,
0.001,,165000,-144.79988390778843,,,11.647034588314238,164857,,,139.65,338.4760400623083
,337.28036333000006,165023,,788,2247,,,136.76,73,,
0.001,339.00687102999996,165631,-145.82964935302735,792,2251,20.089330362823773,165472,137.1,73,,
0.001,340.49663799999996,166261,-144.8141225731891,796,2255,22.140359899160025,166089,138.09,73,,
0.001,341.51449035999997,166850,-145.58604835602173,800,2259,11.284186905080622,166682,138.47,73,,
0.001,341.4961543,167437,-146.29350148076597,804,2264,21.172479034327775,167273,138.66,73,,
0.001,,167500,-145.88279392408288,,,21.45546653496958,167410,,,177.45,480.1585559308529
0.001,345.16270446000004,168065,-146.3849230598001,808,2273,17.254303851776573,167896,139.88,73,,
0.001,348.6042336000001,168711,-147.42317888813633,812,2278,13.282789455947055,168531,141.22,74,,
0.001,348.55103862000004,169282,-147.34125728883606,816,2283,30.842277882755667,169108,141.53,74,,
0.001,349.76021595000003,169835,-147.46053480065387,820,2287,22.664832191190857,169671,141.77,74,,
0.001,,170000,-147.06129891531808,,,22.447163258280074,169948,,,135.9,361.9908511042595
0.001,352.38478328,170398,-147.56013424295776,824,2294,18.09405506328798,170225,142.23,74,,
0.001,352.4840806,170974,-148.31198935312767,828,2299,25.981721740190675,170803,142.13,74,,
0.001,357.69060862000003,171722,-148.27334307502298,832,2305,13.966511132424337,171545,143.94,74,,
0.001,360.11304981,172299,-149.0195924913561,836,2309,26.738253852948038,172134,144.19,74,,
0.001,,172500,-148.33474532417628,,,14.285888972042276,172411,,,151.05,427.16363793611526
0.001,363.2604045899999,172883,-148.08504795383763,840,2318,19.01716639882042,172710,144.62,74,,
0.001,366.33404302,173509,-148.382321871244,844,2322,12.63564020587552,173332,145.43,74,,
0.001,,175000,-148.3198028381713,,,17.16308498169059,174205,,,643.4,793.5881687164307
,378.94370785000007,175232,,848,2346,,,157.2,74,,
0.001,,177500,-148.55035931396483,,,18.42609207880497,177205,,,1000.0,1073.0102716028691
0.001,403.56259900999993,178446,-148.69663452148438,852,2399,18.651389526486398,178205,183.86,74,,
0.001,,180000,-147.28548223322088,,,17.330568191292997,179907,,,179.2,467.02329882085326
,417.70538606,180116,,856,2417,,,194.91,74,,
0.001,424.74880894,180952,-147.0622865144197,860,2423,15.545980645520654,180640,197.33,74,,
0.001,430.83450209,181626,-146.5653899056571,864,2428,9.49070855005253,181447,198.55,74,,
0.001,434.80775654999997,182321,-146.51734392358622,868,2434,20.222181927667904,182125,199.42,74,,
0.001,,182500,-146.7064397711503,,,19.846363937932683,182447,,,150.8,417.58546790480614
0.001,439.6579487000001,182957,-146.85741176605225,872,2442,21.67445137947798,182762,200.47,74,,
0.001,448.0491501700001,183691,-145.44240350832885,876,2448,19.887077717945495,183473,202.59,75,,
0.001,455.18131913999997,184415,-145.22194476460302,880,2454,13.435997301755949,184220,204.43,75,,
0.001,,185000,-145.01612542902382,,,21.09040552898518,184810,,,201.6,548.6733883321285
0.001,466.58627668,185239,-145.3918036666571,884,2464,17.266335379843618,185014,207.63,75,,
0.001,472.90901750000006,185951,-145.16370406240787,888,2469,16.47394243388806,185719,209.28,75,,
0.001,478.23197540000007,186691,-144.61610227642637,892,2474,19.306428212108035,186458,210.6,75,,
0.001,,187500,-144.31873584615772,,,18.128158006833228,187288,,,206.95,610.8708923637867
,486.73050914999993,187521,,896,2486,,,212.6,75,,
0.001,495.34986374,188292,-144.3029044596354,900,2492,21.858841621081034,188062,214.42,75,,
0.001,505.24325966,189077,-144.68438913040802,904,2498,20.995874087680832,188843,216.4,75,,
0.001,512.77086315,189890,-145.80653396162015,908,2504,18.62497110832028,189674,218.25,75,,
0.001,,190000,-144.76148597230303,,,20.03822141728073,189863,,,152.1,397.6537022173405
