time/time_elapsed,time/episodes,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,eval/mean_reward,eval/mean_ep_length
,,188000,,,,0.001,186910,-77.4565080871582,16.865498291254042,1000.0,1000.0
,,189000,,,,0.001,187910,-76.9934342803955,14.159213765144347,1000.0,1000.0
,,190000,,,,0.001,188910,-76.43605976867676,13.355786297678948,1000.0,1000.0
2562,728,190005,74,999.46,999.46,,,,,,
,,191000,,,,0.001,189910,-75.6447190246582,16.96301770877838,1000.0,1000.0
,,192000,,,,0.001,190910,-75.99051551818847,14.480168031454086,1000.0,1000.0
,,193000,,,,0.001,191910,-75.46990454101562,20.462476076364517,1000.0,1000.0
,,194000,,,,0.001,192910,-75.067896484375,15.980348112344743,1000.0,1000.0
2626,732,194005,73,1000.0,1000.0,,,,,,
,,195000,,,,0.001,193910,-75.60831216430664,16.792436805725096,1000.0,1000.0
,,196000,,,,0.001,194910,-75.36024813842774,19.514805575847625,1000.0,1000.0
,,197000,,,,0.001,195910,-75.37003820800781,16.87667538738251,1000.0,1000.0
,,198000,,,,0.001,196910,-74.53257960510254,22.46245821404457,1000.0,1000.0
2688,736,198005,73,1000.0,1000.0,,,,,,
,,199000,,,,0.001,197910,-73.63498303222656,24.553448781967163,1000.0,1000.0
,,200000,,,,0.001,198910,-73.3214956665039,26.26656880187988,1000.0,1000.0
,,201000,,,,0.001,199910,-73.50306886291504,25.119904506206513,1000.0,1000.0
,,202000,,,,0.001,200910,-73.26271549987793,21.314044214487076,1000.0,1000.0
2751,740,202005,73,1000.0,1000.0,,,,,,
,,203000,,,,0.001,201910,-73.7195313873291,19.213743471860887,1000.0,1000.0
,,204000,,,,0.001,202910,-73.93518702697754,21.58114587044716,1000.0,1000.0
,,205000,,,,0.001,203910,-74.76346194458007,20.51462099456787,1000.0,1000.0
,,206000,,,,0.001,204910,-74.36031173706054,21.34736837553978,1000.0,1000.0
2812,744,206005,73,1000.0,1000.0,,,,,,
,,207000,,,,0.001,205910,-74.7333363647461,22.290372764110565,1000.0,1000.0
,,208000,,,,0.001,206910,-74.76523168945313,22.24120992517471,1000.0,1000.0
,,209000,,,,0.001,207910,-74.2782409362793,27.411649478435518,1000.0,1000.0
,,210000,,,,0.001,208910,-74.86519178771972,20.23305594110489,1000.0,1000.0
2880,748,210005,72,1000.0,1000.0,,,,,,
,,211000,,,,0.001,209910,-76.00307275390625,16.045172406196595,1000.0,1000.0
,,212000,,,,0.001,210910,-75.87285818481445,18.457613564014434,1000.0,1000.0
,,213000,,,,0.001,211910,-76.0688977355957,21.42966114830971,1000.0,1000.0
,,214000,,,,0.001,212910,-77.00319763183593,16.446512751340865,1000.0,1000.0
2942,752,214005,72,1000.0,1000.0,,,,,,
,,215000,,,,0.001,213910,-78.94499850463868,9.14209903895855,1000.0,1000.0
,,216000,,,,0.001,214910,-80.31044889831543,8.833287142634392,1000.0,1000.0
,,217000,,,,0.001,215910,-81.03194309997559,6.680442551910877,1000.0,1000.0
,,218000,,,,0.001,216910,-81.60283203125,5.284901777803898,1000.0,1000.0
3012,756,218005,72,1000.0,1000.0,,,,,,
,,219000,,,,0.001,217910,-81.6287584991455,8.523129429280758,1000.0,1000.0
,,220000,,,,0.001,218910,-81.97326805114746,6.658686055481434,1000.0,1000.0
,,221000,,,,0.001,219910,-82.24898335266113,6.403736830711365,1000.0,1000.0
,,222000,,,,0.001,220910,-81.80145593261719,11.029071637034416,1000.0,1000.0
3080,760,222005,72,1000.0,1000.0,,,,,,
,,223000,,,,0.001,221910,-82.23779232788085,9.359875664234162,1000.0,1000.0
,,224000,,,,0.001,222910,-82.41321728515625,8.499339201629162,1000.0,1000.0
,,225000,,,,0.001,223910,-82.34158348083496,9.089298563539982,1000.0,1000.0
,,226000,,,,0.001,224910,-82.0372946472168,10.592106199741364,1000.0,1000.0
3148,764,226005,71,1000.0,1000.0,,,,,,
,,227000,,,,0.001,225910,-81.98705628967285,9.461016611218453,1000.0,1000.0
,,228000,,,,0.001,226910,-82.26041845703125,8.069019735455512,1000.0,1000.0
,,229000,,,,0.001,227910,-82.6530012512207,7.644572919130325,1000.0,1000.0
,,230000,,,,0.001,228910,-82.88312670898438,6.295070925593376,1000.0,1000.0
3215,768,230005,71,1000.0,1000.0,,,,,,
,,231000,,,,0.001,229910,-82.8251675567627,7.026293206751347,1000.0,1000.0
,,232000,,,,0.001,230910,-82.74404307556152,7.036326134979725,1000.0,1000.0
,,233000,,,,0.001,231910,-83.24524838256836,6.384015753865242,1000.0,1000.0
,,234000,,,,0.001,232910,-83.29333891296386,5.86676792383194,1000.0,1000.0
3283,772,234005,71,1000.0,1000.0,,,,,,
,,235000,,,,0.001,233910,-83.61545520019531,5.893594329237938,1000.0,1000.0
,,236000,,,,0.001,234910,-83.81050361633301,4.603723439112306,1000.0,1000.0
,,237000,,,,0.001,235910,-83.97603428649903,3.6024556786119937,1000.0,1000.0
,,238000,,,,0.001,236910,-84.30223127746582,2.9814847479462623,1000.0,1000.0
3351,776,238005,71,1000.0,1000.0,,,,,,
,,239000,,,,0.001,237910,-84.44214903259277,3.6872241732627153,1000.0,1000.0
,,240000,,,,0.001,238910,-84.63980010986329,5.877817776083946,1000.0,1000.0
,,241000,,,,0.001,239910,-84.72784671020507,5.98862270078063,1000.0,1000.0
,,242000,,,,0.001,240910,-84.90595896911621,6.145572167813778,1000.0,1000.0
3411,780,242005,70,1000.0,1000.0,,,,,,
,,243000,,,,0.001,241910,-85.1704436340332,4.956478691846132,1000.0,1000.0
,,244000,,,,0.001,242910,-85.3304299621582,3.0474039249122145,1000.0,1000.0
,,245000,,,,0.001,243910,-85.57660928344727,3.0706274332553147,1000.0,1000.0
