train/learning_rate,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/critic_loss,train/n_updates,time/total_timesteps,train/actor_loss,time/fps,eval/mean_ep_length,eval/mean_reward
0.001,252,1000.0,890.8862917900002,1795,0.22242834643274545,236843,237843,-59.73033371734619,132,,
0.001,,,,,0.20752149536460637,239843,240000,-59.97688381958008,,1000.0,920.0467573300004
0.001,256,1000.0,894.2962142499999,1828,0.21271706372499466,240843,241843,-60.106205192565916,132,,
0.001,,,,,0.2702127347961068,244843,245000,-60.337658264160154,,1000.0,919.5376365913544
,260,1000.0,894.46310801,1861,,,245843,,132,,
0.001,264,1000.0,893.3075769600001,1887,0.21822224045544864,248843,249843,-60.37229560852051,132,,
0.001,,,,,0.2500955351293087,249843,250000,-60.484133361816404,,1000.0,913.9738446980715
0.001,268,1000.0,893.17800683,1920,0.25231844560056926,252843,253843,-60.496931716918944,132,,
0.001,,,,,0.2560123339667916,254843,255000,-60.51483575439453,,1000.0,899.5997621804476
0.001,272,1000.0,893.80839441,1950,0.2661540839374065,256843,257843,-60.61163208770752,132,,
0.001,,,,,0.2839797115698457,259843,260000,-60.592477447509765,,1000.0,929.9243973083794
0.001,276,1000.0,895.3108544300001,1981,0.2672552702352405,260843,261843,-60.58434750366211,132,,
0.001,,,,,0.28894326062500475,264843,265000,-60.2891178817749,,1000.0,916.5135988473543
,280,1000.0,893.1585270700001,2015,,,265843,,131,,
0.001,284,1000.0,894.8723701100002,2037,0.3054400185793638,268843,269843,-59.83145488739014,132,,
0.001,,,,,0.294860543936491,269843,270000,-59.710226318359375,,1000.0,904.3979103725403
0.001,288,1000.0,892.9358950100001,2067,0.27187950295954944,272843,273843,-59.6263549118042,132,,
0.001,,,,,0.30217687948048116,274843,275000,-59.54380072021485,,1000.0,892.8526481747627
0.001,292,1000.0,890.9206517,2098,0.31056305806338785,276843,277843,-59.45008598327637,132,,
0.001,,,,,0.38532122486829756,279843,280000,-59.26826470947265,,1000.0,839.0615411762149
0.001,296,1000.0,888.7739210799998,2129,0.45067669039964675,280843,281843,-59.16457166290283,132,,
0.001,,,,,0.4414780648499727,284843,285000,-58.71879958343506,,1000.0,862.7225178807973
,300,1000.0,882.2963437899999,2158,,,285843,,132,,
0.001,304,1000.0,880.3708902499999,2180,0.37242660000920297,288843,289843,-59.18786075592041,132,,
0.001,,,,,0.36543508458137514,289843,290000,-59.24752726745606,,1000.0,861.5529836818575
0.001,308,1000.0,878.4403096799999,2208,0.32786347360908985,292843,293843,-59.3767502746582,133,,
0.001,,,,,0.2891255372911692,294843,295000,-59.59288690185547,,1000.0,961.4941604964436
0.001,312,1000.0,878.54232954,2237,0.29309661834686995,296843,297843,-59.862381286621094,133,,
0.001,,,,,0.269921136662364,299843,300000,-60.255660255432126,,1000.0,912.8586966216565
0.001,316,1000.0,878.32434956,2265,0.26955411440134047,300843,301843,-60.312960372924806,133,,
0.001,,,,,0.24961611256748437,304843,305000,-60.5344621963501,,1000.0,948.1031943142414
,320,1000.0,878.4758693499998,2293,,,305843,,133,,
0.001,324,1000.0,889.4129887599998,2314,0.25221796028316024,308843,309843,-60.73357130432129,133,,
