time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
18,2150,604,3.5,31.067741949999995,115,-19.881860733032227,0.001,2.9323527018229165,2049,,
18,2165,608,3.49,30.981511569999995,114,-18.360008239746094,0.001,2.4339532057444253,2064,,
18,2180,612,3.51,31.1468997,114,-19.347898483276367,0.001,2.0708595911661782,2079,,
19,2193,616,3.49,30.980234139999997,114,-19.10211753845215,0.001,2.1110682487487793,2093,,
19,2208,620,3.51,31.14551122,114,-19.44919490814209,0.001,2.366258442401886,2108,,
19,2221,624,3.52,31.228309850000006,115,-19.514144897460938,0.001,2.266374389330546,2120,,
19,2234,628,3.51,31.146281060000007,115,-19.556889533996582,0.001,1.499640703201294,2134,,
19,2248,632,3.51,31.14856564,115,-19.742202758789062,0.001,2.921076933542887,2147,,
19,2262,636,3.51,31.1506002,115,-18.7133731842041,0.001,4.063424110412598,2161,,
19,2276,640,3.52,31.234055139999995,115,-18.693629264831543,0.001,2.684144973754883,2176,,
19,2288,644,3.5,31.064815170000003,115,-19.064093589782715,0.001,1.7435346047083538,2188,,
20,2301,648,3.49,30.981689699999997,114,-19.180084228515625,0.001,3.411020278930664,2201,,
20,2313,652,3.47,30.814192380000005,114,-18.7358341217041,0.001,2.5574442545572915,2213,,
20,2329,656,3.49,30.981026880000005,114,-19.94544792175293,0.001,2.3555701076984406,2228,,
20,2342,660,3.48,30.89814397,114,-19.145475387573242,0.001,2.2386536598205566,2242,,
20,2357,664,3.49,30.98153085,114,-20.727214813232422,0.001,3.073588788509369,2257,,
20,2370,668,3.48,30.898862020000003,114,-19.77781105041504,0.001,3.4747937321662903,2270,,
20,2382,672,3.46,30.73377063,114,-20.730557441711426,0.001,2.454806168874105,2282,,
20,2397,676,3.46,30.732393760000004,114,-19.881863594055176,0.001,2.0095542669296265,2297,,
21,2411,680,3.46,30.728433799999998,114,-20.338964462280273,0.001,2.437185049057007,2311,,
21,2426,684,3.47,30.81235811,114,-20.392175674438477,0.001,1.9272692600886028,2325,,
21,2440,688,3.47,30.812416090000003,114,-22.046255111694336,0.001,1.7856979370117188,2339,,
21,2455,692,3.46,30.72910162,114,-19.60303783416748,0.001,1.7820016741752625,2355,,
21,2470,696,3.48,30.907471729999997,114,-19.9582462310791,0.001,2.396386464436849,2368,,
21,2487,700,3.52,31.26110661,114,-26.352177619934082,0.001,2.216648042201996,2386,,
21,2504,704,3.54,31.456723169999997,114,-24.078965187072754,0.001,3.9683658480644226,2401,,
22,2530,708,3.65,32.48759972,114,-25.449949264526367,0.001,4.233890930811564,2426,,
22,2558,712,3.78,33.71798567,114,-25.192397594451904,0.001,3.9091709681919644,2454,,
22,2587,716,3.94,35.21344883,113,-29.049560070037842,0.001,3.3549446165561676,2483,,
23,2615,720,4.07,36.44296635,113,-27.822739124298096,0.001,3.6942512648446217,2512,,
23,2642,724,4.21,37.75057244,112,-27.533601760864258,0.001,3.765700544629778,2538,,
23,2670,728,4.36,39.14413586,112,-32.70448303222656,0.001,4.77864796774728,2566,,
23,2698,732,4.5,40.457576079999995,112,-30.667540073394775,0.001,4.456432546888079,2594,,
24,2728,736,4.66,41.94746618999999,112,-30.80593999226888,0.001,3.9819177218845914,2623,,
24,2757,740,4.81,43.34601040999999,112,-34.65236155192057,0.001,3.448142801012312,2653,,
24,2788,744,5.0,45.104403600000005,112,-33.07246112823486,0.001,3.1844843796321323,2684,,
25,2823,748,5.22,47.15219732,110,-33.438619232177736,0.001,3.8873269774697046,2719,,
25,2851,752,5.38,48.63075368,110,-34.48686408996582,0.001,2.9754370280674527,2748,,
26,2880,756,5.51,49.86348145,110,-35.46029917399088,0.001,3.7916345596313477,2775,,
26,2911,760,5.69,51.54064645,109,-34.98187383015951,0.001,3.8628043106624057,2807,,
26,2942,764,5.85,53.04188485,109,-35.128408432006836,0.001,3.2982603311538696,2836,,
27,2977,768,6.07,55.08370575,109,-34.616268157958984,0.001,4.105587124824524,2872,,
,3000,,,,,-35.526198387145996,0.001,3.0687103952680315,2894,8.3,76.01062364578247
27,3008,772,6.26,56.842133360000005,108,-36.25962829589844,0.001,3.8073425028059216,2903,,
27,3040,776,6.43,58.44655526999999,108,-36.30268249511719,0.001,3.5827504528893366,2934,,
28,3070,780,6.59,59.94748691999999,108,-36.433892250061035,0.001,4.035298722130912,2964,,
28,3100,784,6.74,61.36466657999999,108,-37.77023696899414,0.001,3.01873094694955,2995,,
28,3130,788,6.9,62.873626859999995,108,-37.12738800048828,0.001,3.1375790323529924,3025,,
29,3165,792,7.1,64.76266018,108,-36.02183723449707,0.001,3.023808479309082,3056,,
29,3199,796,7.29,66.54535781999999,108,-36.35855293273926,0.001,3.3168121178944907,3093,,
29,3236,800,7.49,68.44124403,108,-38.166069984436035,0.001,2.8693155646324158,3129,,
30,3274,804,7.7,70.41777746000001,108,-39.07387161254883,0.001,3.153933572769165,3167,,
30,3314,808,7.84,71.75387111,108,-40.398991394042966,0.001,3.0004627466201783,3207,,
31,3360,812,8.02,73.44926239,108,-38.850379943847656,0.001,3.388553329876491,3254,,
31,3404,816,8.17,74.86410872,107,-39.930406951904295,0.001,2.8599478244781493,3294,,
31,3452,820,8.37,76.7509645,108,-40.23302688598633,0.001,3.381831908226013,3337,,
32,3500,824,8.58,78.71920127,107,-40.79521865844727,0.001,2.9807656870947943,3390,,
32,3548,828,8.78,80.60321159,107,-41.65365142822266,0.001,2.8970141053199767,3439,,
33,3619,832,9.21,84.62901027999999,108,-43.722948346819194,0.001,3.0044307708740234,3490,,
34,3707,836,9.79,90.04735992,108,-44.209254582722984,0.001,3.1717138489087424,3579,,
34,3767,840,10.1,92.95887416,108,-44.59285640716553,0.001,9.759705111384392,3653,,
35,3829,844,10.41,95.86790979999999,108,-45.11993064880371,0.001,11.81398078014976,3718,,
35,3888,848,10.65,98.12011474,108,-46.418397426605225,0.001,15.650015234947205,3774,,
36,3940,852,10.89,100.3737561,108,-49.414310455322266,0.001,14.31537641178478,3825,,
,4000,,,,,-47.54240521517667,0.001,25.840377217247372,3864,15.9,147.40248680114746
37,4057,856,11.77,108.62155595000002,108,-46.7202517191569,0.001,21.09719944000244,3931,,
38,4145,860,12.34,113.95627299000002,108,-50.71453905105591,0.001,10.545179271697998,4030,,
39,4219,864,12.77,117.99154371000003,108,-50.681617043235086,0.001,13.836220329458063,4108,,
39,4305,868,13.28,122.77798501000001,108,-49.95212173461914,0.001,13.333948043676523,4192,,
40,4375,872,13.67,126.42768970000002,107,-52.54096031188965,0.001,12.025838136672974,4260,,
41,4483,876,14.43,133.53776317999998,107,-53.780426025390625,0.001,12.245978275934855,4366,,
42,4584,880,15.14,140.18320332999997,107,-54.681514739990234,0.001,9.3605794577763,4461,,
43,4689,884,15.89,147.20488745999998,107,-58.79465160369873,0.001,7.940678241776257,4577,,
44,4772,888,16.42,152.15604899999997,107,-60.542637911709875,0.001,6.628858078609813,4660,,
45,4888,892,17.23,159.72641295,108,-60.78692287868924,0.001,7.140358828209542,4773,,
45,4981,896,17.82,165.24313315,108,-61.10891166100135,0.001,5.3655203855954685,4858,,
,5000,,,,,-61.6336472829183,0.001,11.22285769535945,4897,21.5,199.4317847251892
46,5045,900,18.09,167.75870294,108,-64.16182289123535,0.001,7.690241586594355,4935,,
47,5141,904,18.67,173.17499979000002,108,-62.10571043831961,0.001,6.399976057665689,5018,,
48,5230,908,19.16,177.73684508999997,108,-64.75166365679573,0.001,5.858127054046182,5113,,
48,5310,912,19.5,180.89013760999998,109,-67.72358560562134,0.001,7.297487288713455,5195,,
49,5399,916,19.95,185.08113384,109,-67.72196360996791,0.001,6.020715628351484,5270,,
