rollout/ep_len_mean,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/clip_range,train/value_loss,train/entropy_loss,train/loss,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/std,train/explained_variance,train/n_updates,train/approx_kl,eval/mean_ep_length,eval/mean_reward
,,,230000,,,0.2,53.84649590849877,-10.710325008630752,26.212121963500977,0.285693359375,0.0003,-0.03135558399953879,0.7067154049873352,0.9899040004238486,1120,0.03943762,163.45,755.2145576477051
152.8,613,113,231424,641.0668562999999,377,,,,,,,,,,,,,
153.13,617,114,233472,642.9620884300001,378,0.2,61.21983711123467,-10.682452768087387,21.770740509033203,0.25458984375,0.0003,-0.0292654318647692,0.7049779295921326,0.980931730940938,1130,0.040698346,,
,,,235000,,,0.2,56.879395335912704,-10.669728365540504,26.63985824584961,0.24599609375,0.0003,-0.021546774258604275,0.7051651477813721,0.9847437301650643,1140,0.03353404,159.45,728.6968894720078
152.84,624,115,235520,642.13578267,377,,,,,,,,,,,,,
152.43,628,116,237568,640.06836181,377,0.2,53.70929220914841,-10.663450038433075,18.693824768066406,0.321533203125,0.0003,-0.02637671572738327,0.7042650580406189,0.9853282440453768,1150,0.049415015,,
151.2,633,117,239616,634.31926017,378,0.2,59.829513400793076,-10.660964486002921,24.938087463378906,0.278857421875,0.0003,-0.02148567794356495,0.7044918537139893,0.9847400356084108,1160,0.043174524,,
,,,240000,,,0.2,62.80294232368469,-10.658592477440834,17.97686767578125,0.2505859375,0.0003,-0.029681490210350603,0.7038394808769226,0.9815468918532133,1170,0.04285396,166.7,768.7757991194725
152.79,641,118,241664,641.33794501,376,,,,,,,,,,,,,
152.86,645,119,243712,641.09266058,377,0.2,52.26460904479027,-10.649702444672585,20.106407165527344,0.27978515625,0.0003,-0.022576749839936384,0.7036163210868835,0.9878270691260695,1180,0.040778685,,
,,,245000,,,0.2,54.2488330423832,-10.634346103668213,14.162833213806152,0.24853515625,0.0003,-0.02283845810161438,0.7016972899436951,0.9833317045122385,1190,0.04322855,164.85,756.8142896652222
152.92,654,120,245760,641.22155129,375,,,,,,,,,,,,,
