time/total_timesteps,time/fps,train/actor_loss,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,time/episodes,train/learning_rate,rollout/ep_rew_mean,train/n_updates,eval/mean_reward,eval/mean_ep_length
370000,,-74.09832138061523,,0.12269406283274292,,,0.001,,369648,973.0437371194363,1000.0
373648,125,-74.15968141174316,2979,0.12534108500182628,1000.0,388,0.001,914.00254856,372648,,
375000,,-74.1827154083252,,0.12493825199268759,,,0.001,,374648,967.3379356056452,1000.0
377648,125,-74.20732873535157,3014,0.12647942062094808,1000.0,392,0.001,914.6053389900001,376648,,
380000,,-74.25850848388671,,0.12521665635704995,,,0.001,,379648,969.051540017128,1000.0
381648,125,-74.25853103637695,3048,0.11644429580867291,1000.0,396,0.001,915.39672625,380648,,
385000,,-74.3572124633789,,0.12593039723858238,,,0.001,,384648,957.8509411334992,1000.0
385648,125,,3082,,1000.0,400,,915.4931889699999,,,
389648,125,-74.46358929443359,3106,0.12026153503172099,1000.0,404,0.001,914.2277710699999,388648,,
390000,,-74.502945022583,,0.1467545031271875,,,0.001,,389648,957.2739292025566,1000.0
393648,125,-74.59049600219727,3141,0.13080514862015843,1000.0,408,0.001,914.5086074399999,392648,,
395000,,-74.55516473388671,,0.11272125577740372,,,0.001,,394648,957.3643902301789,1000.0
397648,125,-74.58573628234863,3176,0.12480271506495774,1000.0,412,0.001,914.83105504,396648,,
400000,,-74.60292710876465,,0.1333089520242065,,,0.001,,399648,966.8753544777632,1000.0
401648,125,-74.64653446960449,3211,0.1252266168165952,1000.0,416,0.001,914.9020628,400648,,
405000,,-74.64984823608398,,0.10633439380861819,,,0.001,,404648,969.1492074608802,1000.0
405648,124,,3245,,1000.0,420,,915.98448178,,,
409648,125,-74.69184399414063,3269,0.11246648733317852,1000.0,424,0.001,916.8015534999998,408648,,
410000,,-74.67094645690918,,0.13795402851887048,,,0.001,,409648,956.6112181425094,1000.0
413648,125,-74.6970086364746,3304,0.11729595049284398,1000.0,428,0.001,916.86518609,412648,,
415000,,-74.75868928527832,,0.13258929208666087,,,0.001,,414648,956.7194356441498,1000.0
417648,125,-74.7594271850586,3339,0.15439259833469987,1000.0,432,0.001,917.0820175900001,416648,,
420000,,-74.84959635925293,,0.12292368350736797,,,0.001,,419648,965.7940916717052,1000.0
421648,124,-74.86363972473144,3373,0.11605859011411666,1000.0,436,0.001,917.46063462,420648,,
425000,,-74.90581005859374,,0.11951991591975093,,,0.001,,424648,948.9049860537052,1000.0
425648,124,,3409,,1000.0,440,,916.8916002200001,,,
429648,125,-74.97076289367676,3432,0.12435033578053117,1000.0,444,0.001,917.11129553,428648,,
430000,,-74.97248765563965,,0.1137561753615737,,,0.001,,429648,958.1189727663993,1000.0
433648,125,-74.99686363220215,3468,0.11767557673715055,1000.0,448,0.001,917.10893916,432648,,
435000,,-74.97544480895996,,0.11439359752088785,,,0.001,,434648,958.0755998790264,1000.0
437648,124,-74.96074398803711,3503,0.13968425417318941,1000.0,452,0.001,917.4654505899999,436648,,
440000,,-75.09514253234863,,0.12637135734036564,,,0.001,,439648,954.3877490162849,1000.0
441648,124,-75.0521505126953,3538,0.12504938331991433,1000.0,456,0.001,917.2212205599999,440648,,
445000,,-75.06005662536622,,0.1304993344154209,,,0.001,,444648,973.1305943131447,1000.0
445648,124,,3574,,1000.0,460,,917.6199965899999,,,
449648,124,-75.06016133117676,3597,0.11744270013459027,1000.0,464,0.001,917.5251597700002,448648,,
450000,,-75.09358001708985,,0.11569331233203412,,,0.001,,449648,959.3841109395028,1000.0
453648,124,-75.08349320983886,3633,0.13325205056741835,1000.0,468,0.001,917.29076196,452648,,
455000,,-75.22045657348633,,0.11347584043256939,,,0.001,,454648,963.3941197156906,1000.0
457648,124,-75.15309759521485,3669,0.11217182594724,1000.0,472,0.001,917.29484511,456648,,
460000,,-75.17648614501954,,0.11152825035154819,,,0.001,,459648,966.1085131943225,1000.0
461648,124,-75.17629696655274,3705,0.12088195252791047,1000.0,476,0.001,917.47848258,460648,,
465000,,-75.27448440551758,,0.10969908545725048,,,0.001,,464648,961.086098074913,1000.0
465648,124,,3740,,1000.0,480,,917.19273094,,,
469648,124,-75.30266012573242,3764,0.10968109073117376,1000.0,484,0.001,917.1454405999998,468648,,
470000,,-75.24626318359375,,0.11928350020386279,,,0.001,,469648,959.2435211360455,1000.0
473648,124,-75.3422880859375,3800,0.12542848040536045,1000.0,488,0.001,917.1963024000001,472648,,
475000,,-75.34467082214356,,0.1274929039888084,,,0.001,,474648,974.3280839681626,1000.0
477648,124,-75.28857316589355,3834,0.12039010439254344,1000.0,492,0.001,916.9614103700001,476648,,
480000,,-75.38270390319825,,0.09646554766595364,,,0.001,,479648,972.8999059200287,1000.0
481648,124,-75.31319763183593,3867,0.10802625247463583,1000.0,496,0.001,917.0930256399998,480648,,
485000,,-75.33794061279296,,0.09688948194123805,,,0.001,,484648,954.3353112339973,1000.0
