time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/explained_variance,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/value_loss,eval/mean_ep_length,train/std,eval/mean_reward,train/entropy_loss,train/approx_kl,train/clip_range,train/loss
692224,5164,338,449.3,1628.2757107800003,134,0.9310665875673294,3370,0.0003,-0.0069910157326376066,0.10361328125,299.5713254392147,,0.39814266562461853,,-1.467966867238283,0.008584791,0.2,522.7601318359375
692500,,,,,,0.8618566244840622,3380,0.0003,-0.006182002878631465,0.23193359375,469.2061765640974,1000.0,0.39761799573898315,3524.9011598497627,-1.461122503504157,0.016808424,0.2,15.636089324951172
694272,5184,339,454.84,1648.73028364,133,,,,,,,,,,,,,
695000,,,,,,0.9804743658751249,3390,0.0003,-0.010884090058971197,0.2173828125,22.291397935152055,998.4,0.3953709602355957,3514.1036145716907,-1.4509998138993978,0.021829639,0.2,10.364547729492188
696320,5204,340,452.71,1642.7458315000001,133,,,,,,,,,,,,,
697500,,,,,,0.9900980219244957,3400,0.0003,-0.0070211652695434165,0.214697265625,12.0781146787107,984.1,0.3965381979942322,3455.2355059176684,-1.4431043837219477,0.023960315,0.2,3.1068968772888184
698368,5223,341,453.31,1645.1365261799997,133,,,,,,,,,,,,,
700000,,,,,,0.9925433173775673,3410,0.0003,-0.00999898325826507,0.243798828125,13.507673267275095,984.35,0.3979259431362152,3455.935337048769,-1.4514840215444564,0.031096198,0.2,1.1212538480758667
700416,5242,342,455.29,1652.8542005799995,133,,,,,,,,,,,,,
702464,5246,343,458.58,1666.1345083400001,133,0.9956526886671782,3420,0.0003,-0.007045046688290313,0.20693359375,10.962700629979372,,0.39691850543022156,,-1.4581810373812913,0.01952444,0.2,3.0230958461761475
702500,,,,,,0.9422230497002602,3430,0.0003,-0.005570436743437312,0.161962890625,214.79601267874241,1000.0,0.39701685309410095,3520.3160506397485,-1.454918722063303,0.016873702,0.2,59.6877555847168
704512,5266,344,458.89,1666.8958823100004,133,,,,,,,,,,,,,
705000,,,,,,0.9881894933059812,3440,0.0003,-0.006946202075050678,0.150634765625,41.38251003921032,1000.0,0.3928065896034241,3520.4411673069,-1.441330698877573,0.01403128,0.2,27.525577545166016
706560,5286,345,465.69,1693.2335043900002,133,,,,,,,,,,,,,
707500,,,,,,0.9958944609388709,3450,0.0003,-0.00433089371654205,0.272412109375,8.689122336357832,1000.0,0.3902825117111206,3495.868015319109,-1.413647335767746,0.040808998,0.2,4.859270095825195
708608,5306,346,472.11,1715.94586916,133,,,,,,,,,,,,,
710000,,,,,,0.9900272339582443,3460,0.0003,-0.0062816506382660005,0.290625,13.291274701058864,632.45,0.388075053691864,2347.7666605979202,-1.3978372659534215,0.033382583,0.2,7.360667705535889
710656,5320,347,484.19,1761.1817548799997,133,,,,,,,,,,,,,
712500,,,,,,0.9928679270669818,3470,0.0003,-0.009351818234426901,0.1775390625,17.164260025322438,668.1,0.38477468490600586,2452.3004528105257,-1.3799720492213965,0.0179368,0.2,7.006814479827881
712704,5335,348,490.93,1787.10911635,133,,,,,,,,,,,,,
