time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,train/clip_range,train/entropy_loss,train/std,train/approx_kl,train/n_updates,train/explained_variance,train/clip_fraction,train/value_loss,train/loss,train/policy_gradient_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
159744,78,324.45389927,67.27,440,362,0.2,-22.866896069049837,0.9298534393310547,0.021425094,770,0.8194984495639801,0.160693359375,375.9564348697662,146.34469604492188,-0.05064153815328609,0.0003,,
160000,,,,,,0.2,-22.86792125105858,0.9305618405342102,0.022511195,780,0.8597762733697891,0.184716796875,357.1716191768646,156.877197265625,-0.052527883354923685,0.0003,203.99645594656468,42.05
161792,79,328.63651311,68.01,446,361,,,,,,,,,,,,,
163840,80,323.74345926999996,66.67,451,362,0.2,-22.867563420534132,0.9299121499061584,0.023316506,790,0.8529044091701508,0.18515625,358.3868813276291,187.43826293945312,-0.0506664483982604,0.0003,,
165000,,,,,,0.2,-22.85166863203049,0.9291172027587891,0.021591086,800,0.827842503786087,0.183251953125,414.25893998146057,100.62157440185547,-0.05045990690996405,0.0003,240.00511830598117,49.35
165888,81,321.84404901,66.28,458,361,,,,,,,,,,,,,
167936,82,332.96086942,68.49,463,362,0.2,-22.841612511873244,0.9286207556724548,0.021299077,810,0.8565512597560883,0.1685546875,397.2911789417267,178.13906860351562,-0.05001624550204724,0.0003,,
169984,83,331.52769379,67.64,468,362,0.2,-22.833856093883515,0.9283163547515869,0.017596532,820,0.8315357565879822,0.142236328125,477.060098028183,233.69586181640625,-0.046441613990464245,0.0003,,
170000,,,,,,0.2,-22.820443594455718,0.9272924661636353,0.022157472,830,0.8898166567087173,0.166943359375,312.5036797046661,153.1627960205078,-0.048707789450418204,0.0003,222.76609841855242,46.15
172032,84,324.73909221,66.43,474,362,,,,,,,,,,,,,
174080,85,318.25776989999997,64.94,480,362,0.2,-22.813603138923646,0.9276584386825562,0.016992012,840,0.8534464240074158,0.151953125,407.7777516365051,159.65093994140625,-0.04748834722850006,0.0003,,
175000,,,,,,0.2,-22.807268613576888,0.9267416000366211,0.019509729,850,0.8503838330507278,0.154345703125,398.83303294181826,202.0851287841797,-0.04867520993284415,0.0003,192.99409453235566,40.55
176128,86,319.63189341,66.17,486,362,,,,,,,,,,,,,
178176,87,325.20607296000003,67.84,491,362,0.2,-22.795589578151702,0.9260609149932861,0.021034941,860,0.8315379917621613,0.146044921875,393.8722089290619,136.5897979736328,-0.041784113430185246,0.0003,,
180000,,,,,,0.2,-22.786830455064774,0.9259833097457886,0.021093268,870,0.8160126805305481,0.154833984375,421.3167589187622,207.20509338378906,-0.04667133935727179,0.0003,93.07802620865405,20.15
180224,88,322.93005122,67.86,497,362,,,,,,,,,,,,,
182272,89,320.61654363,66.98,502,362,0.2,-22.781055080890656,0.9256520867347717,0.020184025,880,0.8749699294567108,0.16123046875,367.0481850147247,114.60690307617188,-0.04801212851598393,0.0003,,
184320,90,326.35521868000006,67.97,507,363,0.2,-22.77317950129509,0.9252257943153381,0.018026564,890,0.8393794298171997,0.13994140625,426.18726658821106,201.51803588867188,-0.0436249966151081,0.0003,,
185000,,,,,,0.2,-22.76967082619667,0.9253383278846741,0.020945232,900,0.8585775792598724,0.16806640625,381.90312905311583,130.694580078125,-0.047660482247010805,0.0003,196.07758667767047,40.85
186368,91,328.12229044,67.64,513,362,,,,,,,,,,,,,
188416,92,334.2102099099999,69.2,518,363,0.2,-22.765189480781554,0.9245079159736633,0.02027863,910,0.8650935888290405,0.1642578125,360.5952198982239,71.41089630126953,-0.04637441245140508,0.0003,,
190000,,,,,,0.2,-22.749363696575166,0.9238278865814209,0.018513542,920,0.8416617512702942,0.139453125,425.4441696643829,105.32672882080078,-0.04544534449814819,0.0003,238.9371999207884,49.0
190464,93,334.81014726,69.87,524,363,,,,,,,,,,,,,
192512,94,335.28080848999997,69.79,529,363,0.2,-22.73134888410568,0.9225016236305237,0.022283733,930,0.871141716837883,0.1740234375,307.6175250530243,110.98182678222656,-0.04728236820956226,0.0003,,
194560,95,336.44120203,69.64,534,363,0.2,-22.7068494617939,0.9211592674255371,0.018183729,940,0.8595468550920486,0.134814453125,437.49786510467527,212.0897216796875,-0.04296612166799605,0.0003,,
195000,,,,,,0.2,-22.700076007843016,0.9217071533203125,0.018042719,950,0.8915916532278061,0.155224609375,295.01692662239077,111.67884063720703,-0.046035321796080095,0.0003,249.86417271904648,51.5
196608,96,337.81455707000003,69.58,541,363,,,,,,,,,,,,,
198656,97,327.51656116,68.08,546,363,0.2,-22.69538341164589,0.9206612706184387,0.01966697,960,0.8700836002826691,0.1521484375,398.8614857673645,191.489013671875,-0.04567360470246058,0.0003,,
200000,,,,,,0.2,-22.685571324825286,0.9208899140357971,0.02188676,970,0.8742004036903381,0.16083984375,364.36894125938414,127.19452667236328,-0.04822633618023246,0.0003,262.7218562081456,52.2
200704,98,331.42807862,68.92,552,362,,,,,,,,,,,,,
202752,99,331.17886343000004,68.23,557,363,0.2,-22.683216869831085,0.9204442501068115,0.0198071,980,0.8564567565917969,0.157177734375,382.12141427993777,172.56942749023438,-0.04715273214387707,0.0003,,
204800,100,337.84425262999997,69.83,563,363,0.2,-22.673546981811523,0.9197257161140442,0.02199709,990,0.8745422214269638,0.191748046875,301.347105550766,132.64788818359375,-0.050714464276097715,0.0003,,
205000,,,,,,0.2,-22.653579145669937,0.9185621738433838,0.020280737,1000,0.8707692474126816,0.148095703125,341.66002411842345,137.81321716308594,-0.04538300367130432,0.0003,250.57401106996113,50.6
206848,101,347.72426357999996,71.66,569,363,,,,,,,,,,,,,
208896,102,350.46235096,72.26,574,363,0.2,-22.637725776433946,0.918013870716095,0.020232948,1010,0.8422561138868332,0.15029296875,400.33250098228456,158.42013549804688,-0.04611520270700566,0.0003,,
210000,,,,,,0.2,-22.632952177524565,0.9181385636329651,0.020012915,1020,0.8713693022727966,0.164599609375,332.174155330658,89.65532684326172,-0.047893534382455985,0.0003,228.71963208317757,47.25
210944,103,348.47853099,72.41,580,363,,,,,,,,,,,,,
212992,104,330.49736693000006,68.44,585,363,0.2,-22.629148679971696,0.9176011681556702,0.018844076,1030,0.8770838230848312,0.1369140625,368.8914077758789,101.68553924560547,-0.03881292486039456,0.0003,,
215000,,,,,,0.2,-22.62632172703743,0.9177294373512268,0.020472206,1040,0.8730811029672623,0.150439453125,360.67916865348815,167.54539489746094,-0.04479705699632177,0.0003,255.3605664998293,52.4
215040,105,324.76949665999996,67.54,592,363,,,,,,,,,,,,,
217088,106,323.9258328,67.24,597,363,0.2,-22.61989870071411,0.9170569181442261,0.020409692,1050,0.8583228290081024,0.15869140625,351.87013750076295,117.08563995361328,-0.047271530790021644,0.0003,,
219136,107,329.48446437,67.96,602,363,0.2,-22.6069620013237,0.9162241816520691,0.0196684,1060,0.8933241963386536,0.16396484375,284.3269048213959,138.5431365966797,-0.047146657647681424,0.0003,,
