time/fps,train/critic_loss,time/time_elapsed,train/n_updates,time/episodes,train/actor_loss,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
,0.3249103354737163,,269784,,-59.289123817443844,270000,,0.001,,894.8448445916176,1000.0
123,0.29392189744114877,2219,272784,292,-59.14793421936035,273827,899.5485272200001,0.001,1000.0,,
,0.221606626175344,,274784,,-59.35750959777832,275000,,0.001,,849.7102376282215,1000.0
123,0.2477745833992958,2251,276784,296,-59.56466644287109,277827,902.99503654,0.001,1000.0,,
,0.25217080423235894,,279784,,-59.82773529052734,280000,,0.001,,877.0889579087495,1000.0
123,0.2691754091307521,2282,280784,300,-59.83036361694336,281827,899.47723121,0.001,1000.0,,
,0.3116071250811219,,284784,,-59.69043367767334,285000,,0.001,,847.2454182581976,1000.0
123,,2317,,304,,285827,893.52817368,,1000.0,,
123,0.3313932661265135,2341,288784,308,-59.55946424102783,289827,888.4753707099999,0.001,1000.0,,
,0.33089796736091376,,289784,,-59.52378452301026,290000,,0.001,,849.3408827111125,1000.0
123,0.3658489977121353,2376,292784,312,-59.31016243743896,293827,885.2096359799999,0.001,1000.0,,
,0.362223877876997,,294784,,-58.9107748260498,295000,,0.001,,741.8995634019375,1000.0
123,0.41827079832553865,2410,296784,316,-58.50308563232422,297827,882.6166313099999,0.001,1000.0,,
,0.4255454965829849,,299784,,-57.886723327636716,300000,,0.001,,918.6476970180869,1000.0
123,0.4897740528732538,2446,300784,320,-57.66587239074707,301827,877.40100066,0.001,1000.0,,
,0.6620903425514698,,304784,,-56.85963868713379,305000,,0.001,,817.7597452819348,1000.0
123,,2481,,324,,305827,870.21247984,,1000.0,,
123,0.9460927882492542,2504,308784,328,-56.26458125305176,309827,865.8389481699998,0.001,1000.0,,
,0.9410523735284805,,309784,,-56.0108962097168,310000,,0.001,,836.4911091624992,1000.0
123,0.7607333081960678,2539,312784,332,-55.57455978393555,313827,861.41914138,0.001,1000.0,,
,0.7002272997200489,,314784,,-55.297534156799315,315000,,0.001,,841.3036618508398,1000.0
123,0.5548043456375599,2573,316784,336,-55.11616332244873,317827,857.4212778100002,0.001,1000.0,,
,0.4724050512611866,,319784,,-55.355061820983885,320000,,0.001,,719.9776850789785,1000.0
123,0.4383231980055571,2607,320784,340,-55.494036087036136,321827,851.83005415,0.001,1000.0,,
,0.4423399393856525,,324784,,-55.640516250610354,325000,,0.001,,925.6710131406784,1000.0
123,,2643,,344,,325827,848.69754869,,1000.0,,
123,0.3886489220559597,2665,328784,348,-56.44682743835449,329827,846.47818833,0.001,1000.0,,
,0.3964594053179026,,329784,,-56.717975807189944,330000,,0.001,,764.5417797978968,1000.0
123,0.4544844916164875,2698,332784,352,-57.24499446105957,333827,842.19698133,0.001,1000.0,,
,0.45821749192476274,,334784,,-57.51039864349365,335000,,0.001,,842.0292172521353,1000.0
123,0.4828056995868683,2729,336784,356,-57.72665476226807,337827,838.06060312,0.001,1000.0,,
,0.5207143036276102,,339784,,-57.68870615386963,340000,,0.001,,810.8856246694922,1000.0
123,0.4340026944577694,2759,340784,360,-57.81750373840332,341827,832.9121300499999,0.001,1000.0,,
,0.3338155863881111,,344784,,-58.593614028930666,345000,,0.001,,838.6418614134193,1000.0
123,,2790,,364,,345827,831.56255992,,1000.0,,
124,0.4423599370718002,2813,348784,368,-58.76685720062256,349827,827.3977051300001,0.001,1000.0,,
,0.5389798753261567,,349784,,-58.51151558685303,350000,,0.001,,667.5448646778241,1000.0
124,0.5166717201471329,2845,352784,372,-57.82778184509277,353827,800.41804875,0.001,1000.0,,
,0.45139149397611616,,354784,,-57.56162277221679,355000,,0.001,,551.0443904001265,1000.0
124,0.43542174401879313,2875,356784,376,-57.381369972229,357827,788.1917375199998,0.001,1000.0,,
,0.4830053090006113,,359784,,-56.91854364013672,360000,,0.001,,709.0701580222697,1000.0
124,0.4324887657612562,2905,360784,380,-56.83633615875244,361827,785.2174814400001,0.001,1000.0,,
,0.4135371516942978,,364784,,-57.55284300994873,365000,,0.001,,771.2114761486649,1000.0
124,,2938,,384,,365827,777.00519386,,1000.0,,
124,0.3818569004237652,2960,368784,388,-58.001185539245604,369827,777.9594242099998,0.001,1000.0,,
,0.384515033736825,,369784,,-58.170909721374514,370000,,0.001,,620.7986423750175,1000.0
124,0.397651083022356,2993,372784,392,-58.60592517852783,373827,778.90101493,0.001,1000.0,,
,0.39844416922330855,,374784,,-58.91759358215332,375000,,0.001,,937.8703069418668,1000.0
124,0.4536336240917444,3027,376784,396,-58.71913725280762,377827,779.7166105900001,0.001,1000.0,,
,0.35350369712710383,,379784,,-58.66447972869873,380000,,0.001,,758.3242008135654,1000.0
124,0.3521546500623226,3061,380784,400,-58.60375859069824,381827,776.8829214499998,0.001,1000.0,,
,0.39643291680514814,,384784,,-57.908611907958985,385000,,0.001,,690.9873922124505,1000.0
124,,3093,,404,,385827,768.2607617299999,,1000.0,,
125,0.4634508768767118,3117,388784,408,-58.51154525756836,389827,771.8060962899998,0.001,1000.0,,
,0.5391607115417719,,389784,,-58.520904998779294,390000,,0.001,,845.4801193559542,1000.0
124,0.688974734544754,3153,392784,412,-58.126826477050784,393827,767.3148616899998,0.001,1000.0,,
,0.922505597859621,,394784,,-57.92900774383545,395000,,0.001,,-673.3751338743605,1000.0
124,1.2654094799458981,3186,396784,416,-56.997811347961424,397827,750.1872856000002,0.001,1000.0,,
,1.0799317654669285,,399784,,-56.05090040588379,400000,,0.001,,601.7741815324873,1000.0
124,1.0851195024847984,3218,400784,420,-55.84006527709961,401827,741.1626386299998,0.001,1000.0,,
,0.8933872078955174,,404784,,-55.392565322875974,405000,,0.001,,780.3371527690615,1000.0
124,,3248,,424,,405827,742.5382954900001,,1000.0,,
125,0.901429115563631,3269,408784,428,-53.84559592437744,409827,732.17184475,0.001,1000.0,,
,0.8592406366765499,,409784,,-53.8133355178833,410000,,0.001,,869.1469615964219,1000.0
125,0.9333038929402828,3298,412784,432,-53.25001917266846,413827,731.8811051800002,0.001,1000.0,,
,0.8220384424626828,,414784,,-53.515284225463866,415000,,0.001,,850.9358815707267,1000.0
125,0.7517689784765244,3330,416784,436,-53.678442947387694,417827,732.06297163,0.001,1000.0,,
,0.7053158948123455,,419784,,-53.52076696777344,420000,,0.001,,814.1842073826119,1000.0
125,0.716938580185175,3360,420784,440,-53.45967346954346,421827,734.9146033600002,0.001,1000.0,,
,1.029866977095604,,424784,,-52.45185396575928,425000,,0.001,,822.5826790522784,1000.0
125,,3390,,444,,425827,731.47984875,,1000.0,,
125,0.7461216619610787,3411,428784,448,-52.209741432189944,429827,704.2073570199999,0.001,1000.0,,
,0.6747151573598384,,429784,,-52.1810140914917,430000,,0.001,,510.1077109921738,934.5
125,0.6438607968837022,3445,432784,452,-52.12473378753662,433827,696.0818136400002,0.001,1000.0,,
,0.6067597769349814,,434784,,-52.2883889465332,435000,,0.001,,824.9451868858189,1000.0
125,0.6687485702186823,3480,436784,456,-52.488718055725094,437827,698.32238979,0.001,1000.0,,
,0.602123838737607,,439784,,-52.83645413208008,440000,,0.001,,891.1137817770243,1000.0
125,0.6123170682042837,3516,440784,460,-52.90517716217041,441827,701.50368067,0.001,1000.0,,
,0.7307986016273499,,444784,,-52.811724365234376,445000,,0.001,,688.2211406655609,1000.0
125,,3550,,464,,445827,697.8729436799999,,1000.0,,
125,0.5693943171948195,3573,448784,468,-53.147587547302244,449827,699.3363843100001,0.001,1000.0,,
,0.5534222923219204,,449784,,-53.1610458984375,450000,,0.001,,801.0768302794546,1000.0
125,0.5788247927129269,3606,452784,472,-53.21880895996094,453827,719.3987457000002,0.001,1000.0,,
,0.5406557007879019,,454784,,-53.395407829284665,455000,,0.001,,841.9066755237058,1000.0
125,0.5366994142830371,3639,456784,476,-53.45304919433594,457827,726.3449513300002,0.001,1000.0,,
,0.5876764633953572,,459784,,-53.23751824188233,460000,,0.001,,682.0801058334066,1000.0
125,0.5877372330129147,3674,460784,480,-53.05760231018066,461827,722.6165137400001,0.001,1000.0,,
,0.5118656363487244,,464784,,-52.93412419128418,465000,,0.001,,883.6871516216546,1000.0
125,,3708,,484,,465827,718.06823788,,1000.0,,
125,0.5368114857375622,3731,468784,488,-52.844547256469724,469827,714.5373527999999,0.001,1000.0,,
,0.48702038972079753,,469784,,-52.82663618469238,470000,,0.001,,790.1024492636323,1000.0
125,0.39120426389575,3765,472784,492,-53.11663185119629,473827,713.2680399499998,0.001,1000.0,,
,0.39318726409971716,,474784,,-53.14548456573486,475000,,0.001,,893.1839035958052,1000.0
125,0.3946048524081707,3799,476784,496,-53.5266654510498,477827,711.08569812,0.001,1000.0,,
,0.40386437594890595,,479784,,-54.053379440307616,480000,,0.001,,863.109218712151,1000.0
125,0.4478311921060085,3831,480784,500,-54.05633911132813,481827,714.9010591800001,0.001,1000.0,,
,0.49338617573678495,,484784,,-53.22139196014404,485000,,0.001,,872.8729673244059,1000.0
125,,3863,,504,,485827,726.6231723999999,,1000.0,,
126,0.4103917505741119,3885,488784,508,-53.768674797058104,489827,723.0453582500002,0.001,1000.0,,
,0.4227808949202299,,489784,,-53.9806734085083,490000,,0.001,,852.5232369422913,1000.0
126,0.5891153995394707,3917,492784,512,-53.76164572143555,493827,725.6316184900002,0.001,1000.0,,
,0.768066944271326,,494784,,-53.081430641174315,495000,,0.001,,746.2320800484624,1000.0
126,0.8717184900343418,3948,496784,516,-51.601571769714354,497827,738.3220935,0.001,1000.0,,
,0.6337342001497746,,499784,,-50.839139190673826,500000,,0.001,,697.1137523442507,1000.0
126,0.5839066853821278,3981,500784,520,-50.965778274536135,501827,742.0825277500002,0.001,1000.0,,
,0.6688637317419052,,504784,,-51.05455713653564,505000,,0.001,,888.0194422900677,1000.0
125,,4015,,524,,505827,743.2795199199999,,1000.0,,
126,0.6804035544395447,4038,508784,528,-51.48275299835205,509827,751.0793264799998,0.001,1000.0,,
,0.706016815572977,,509784,,-51.89953586578369,510000,,0.001,,737.1820830032229,1000.0
126,0.5698722845315933,4069,512784,532,-52.99095009613037,513827,748.7616837799999,0.001,1000.0,,
,0.5022205889374017,,514784,,-53.80890119171143,515000,,0.001,,949.7989640623331,1000.0
126,0.5209060141593218,4104,516784,536,-54.42308915710449,517827,748.4333155799999,0.001,1000.0,,
,0.5040219108462334,,519784,,-55.19735866546631,520000,,0.001,,930.7081719234586,1000.0
126,0.5317167983502149,4136,520784,540,-55.42621694946289,521827,750.1641650199999,0.001,1000.0,,
,0.4589448333084583,,524784,,-56.532434326171874,525000,,0.001,,949.8370517879724,1000.0
126,,4167,,544,,525827,756.78035194,,1000.0,,
126,0.40340522277355195,4189,528784,548,-57.47661944580078,529827,787.6893830199998,0.001,1000.0,,
,0.41152085343003275,,529784,,-57.53430262756348,530000,,0.001,,922.5691245675087,1000.0
126,0.42848994259536266,4221,532784,552,-57.745165229797365,533827,797.4128763199998,0.001,1000.0,,
,0.40444915756583216,,534784,,-57.83390756225586,535000,,0.001,,830.1062837690115,1000.0
126,0.4359392405301332,4252,536784,556,-57.97702155303955,537827,799.0300667199999,0.001,1000.0,,
,0.4388343216329813,,539784,,-58.16510588073731,540000,,0.001,,918.6232040211559,1000.0
126,0.483624280706048,4283,540784,560,-58.31735584259033,541827,801.63358924,0.001,1000.0,,
,0.5553498745560647,,544784,,-58.30908548736572,545000,,0.001,,769.4480134472251,1000.0
126,,4314,,564,,545827,803.74519494,,1000.0,,
126,0.534587740212679,4336,548784,568,-58.0698390045166,549827,808.08690622,0.001,1000.0,,
,0.5454995380491018,,549784,,-57.98764744567871,550000,,0.001,,958.5719068467617,1000.0
126,0.5808475677520036,4366,552784,572,-57.84787293243408,553827,815.3862659499998,0.001,1000.0,,
,0.6677690244317055,,554784,,-57.09813782501221,555000,,0.001,,785.2100790761411,1000.0
126,0.8551662919521332,4395,556784,576,-56.13853695678711,557827,808.5796402699999,0.001,1000.0,,
,0.9667399642467499,,559784,,-55.45676741790771,560000,,0.001,,728.4898090787232,1000.0
126,0.9868061398267746,4423,560784,580,-55.2287222366333,561827,809.546045,0.001,1000.0,,
,0.991982562750578,,564784,,-54.166005409240725,565000,,0.001,,739.2822349144146,1000.0
126,,4458,,584,,565827,812.3125482800001,,1000.0,,
127,1.1500564337968826,4480,568784,588,-52.97726795959473,569827,804.0854134599998,0.001,1000.0,,
,1.1158505336046218,,569784,,-52.547473022460935,570000,,0.001,,474.7971662499243,1000.0
127,1.2953548502922059,4513,572784,592,-51.92613008117676,573827,782.91578289,0.001,1000.0,,
,1.417057722210884,,574784,,-51.70675218200684,575000,,0.001,,293.4038596301126,1000.0
127,1.6881401393413544,4547,576784,596,-51.12632459259033,577827,761.2304627799999,0.001,1000.0,,
,1.0223469936251641,,579784,,-49.746849533081054,580000,,0.001,,673.700506785512,1000.0
126,0.8642253033816815,4581,580784,600,-49.682960594177246,581827,756.0113503599999,0.001,1000.0,,
,1.084279811322689,,584784,,-47.96219494628906,585000,,0.001,,722.1553087539039,1000.0
126,,4616,,604,,585827,753.08931333,,1000.0,,
127,1.1446943745613098,4639,588784,608,-47.83807988739014,589827,744.5720432399999,0.001,1000.0,,
,1.146566676735878,,589784,,-47.832777198791504,590000,,0.001,,780.8481278228107,1000.0
127,0.8554299854636193,4671,592784,612,-47.812276191711426,593827,737.8902730899999,0.001,1000.0,,
,0.6637617713809013,,594784,,-48.44397943115234,595000,,0.001,,832.4269618504914,1000.0
127,0.5968088915348053,4704,596784,616,-48.794679061889646,597827,743.0806290499999,0.001,1000.0,,
,0.5603168856799603,,599784,,-49.01104658508301,600000,,0.001,,806.2893934562802,1000.0
127,0.5614076178073883,4737,600784,620,-48.91880651092529,601827,749.8560821100001,0.001,1000.0,,
,0.624966607451439,,604784,,-47.787954849243164,605000,,0.001,,847.9386179781956,1000.0
126,,4770,,624,,605827,750.79212087,,1000.0,,
127,0.8359413023889065,4793,608784,628,-45.37857302856445,609827,745.1484197999999,0.001,1000.0,,
,0.8889372016787529,,609784,,-44.53913739776611,610000,,0.001,,627.2577029513443,1000.0
127,1.066491307914257,4827,612784,632,-43.0008459777832,613827,738.4895648300001,0.001,1000.0,,
,1.144902668774128,,614784,,-42.60931020355225,615000,,0.001,,730.3041665652767,1000.0
127,1.2044125680327415,4859,616784,636,-42.709858833312985,617827,737.4494827399999,0.001,1000.0,,
,1.1217642045617104,,619784,,-42.28970478057861,620000,,0.001,,527.4974310772493,1000.0
127,1.3028069661259651,4893,620784,640,-41.85253884124756,621827,725.8641207800001,0.001,1000.0,,
,1.5989069353938103,,624784,,-40.872414276123045,625000,,0.001,,375.82899975860494,1000.0
127,,4926,,644,,625827,687.4380039700002,,1000.0,,
127,1.814117921113968,4948,628784,648,-39.78977759552002,629827,682.6791637499998,0.001,1000.0,,
,2.1236301041245462,,629784,,-40.49863377380371,630000,,0.001,,709.5532469057478,1000.0
127,3.0792346225976943,4979,632784,652,-42.13889241790771,633827,643.52313378,0.001,1000.0,,
,3.0271552683115006,,634784,,-40.191146995544436,635000,,0.001,,102.45219666076882,1000.0
127,3.0411967434883116,5007,636784,656,-37.572672370910645,637827,607.52753725,0.001,1000.0,,
,3.081631170630455,,639784,,-36.91528995513916,640000,,0.001,,-292.2370182222003,904.7
127,2.919905140399933,5038,640784,660,-37.07124577331543,641827,556.9649216100001,0.001,1000.0,,
,5.164835085391998,,644784,,-37.63638907623291,645000,,0.001,,102.23845678224389,1000.0
127,,5069,,664,,645827,528.2953592400002,,1000.0,,
127,7.464733555555344,5090,648784,668,-38.591980094909665,649827,487.84784792,0.001,1000.0,,
,7.0636046590805055,,649784,,-38.205550804138184,650000,,0.001,,251.3316499884706,1000.0
127,6.20781933426857,5122,652784,672,-34.17714945602417,653827,417.72078427,0.001,1000.0,,
